Timestep	x	y	LC11	LC22	LC33	LC40	LC41	LC44	LC45	LC55	LC66	LC77
1	-1.25	60.25	0.0528354581836896	0	0.475929789752509	0.0883495677254276	0	0	0	-1.55431223447522e-15	0	0.0178267466015463
1	-6.75	58.25	0	0.0167285146300927	1.30080992310554	0	0	0	0	7.88860905221012e-31	0	0
1	-4.75	58.25	0	0	0.62685105482605	3.357988076904e-05	1.11434744869665e-48	0	0	8.35182617509033e-15	0.0199843435912256	3.28103728649432e-49
1	-2.75	57.25	1.04083408558608e-16	0.426330796711505	5.55111512312578e-15	1.94289029309402e-15	0.206609480249551	0	0	0.0138793256636546	0	0.0156651358970896
1	-5.75	56.75	0.0415972977916559	0	0.415395775381224	1.23259516440783e-32	0.186858178821005	0	0	1.28292706084426e-49	0	0.041575464573195
1	-5.25	56.25	0.02683941600315	0	0.509927438375078	1.96630906001971e-15	0.835679635779172	0.000367534106700232	0	2.75387351811318e-16	0	2.05578545159982e-35
1	-4.75	56.25	6.93889390390722e-17	0	0.597958458729785	1.88816661305959e-48	0.0936794674919765	4.16333634234433e-17	0	2.36020826632448e-49	0	5.55111512312578e-17
1	-3.25	56.25	0.0331206222136511	0.232673418245915	1.09567205820244e-31	6.66133814775092e-16	0.0554022961614231	0	0	0.365064261972079	0	1.0842021724855e-19
1	-4.75	55.75	1.29131971967631	0.700075074575152	3.74187059412907e-50	6.84227765783602e-49	0.098553695884716	0	0	4.10536659470161e-48	0	0
1	-4.25	55.25	0.169210408715792	0.265059761357434	2.77555756156289e-17	9.53818813801035e-49	0.247800922721354	0	0	5.55111512312578e-17	0.015345120910877	0.0154985313424329
1	-5.75	54.75	0.346012731407868	0.173286228526632	2.22044604925031e-16	1.11022302462516e-16	0.121897172083517	0	0	0.0746097610956529	0	0
1	-5.75	54.25	0.167209446388876	0.223420378295444	4.44089209850063e-16	2.22044604925031e-16	8.32667268468867e-17	0	0	0.335440583211804	0	0
1	-0.75	53.75	8.88178419700125e-16	5.55111512312578e-16	0.152428209727255	5.55111512312578e-16	0.122249333198451	0	0	0.458467717817697	0	0
1	-2.75	53.25	0.0466817806004164	0.519045743984166	6.21724893790087e-15	9.66726504223065e-132	0.0230769348330217	0	0	0.151516348737224	0	0
1	0.25	53.25	0.245773240075974	8.67361737988404e-19	0.411560516942666	0	0	0	0	1.11022302462516e-16	0	0.0824183368574822
1	0.25	52.75	0.231798836624183	0.489562428326364	1.38777878078144e-17	4.51028103753969e-17	0	0	0	2.34231339250406e-33	0	0.0255590894689935
1	0.75	52.75	0.145463688706155	8.88178419700125e-15	0.184282111585433	7.7715611723761e-16	0.0389058552574704	0	0	0.376996803957723	0	6.24500451351651e-17
1	-2.75	51.25	0.139698153592516	0.466458389089779	2.33146835171283e-15	-4.29408057523535e-308	0	0.0116768915966869	0	0.151732040303717	0	0
1	-2.75	50.75	0.123088178831563	1.01526533584581	2.73691106313441e-48	3.34095588761524e-52	0	0	0	0.430173897581303	0	0
1	-3.75	50.25	0.0195057848883139	0.527877900601696	-1.0185323992706e-96	9.02056207507928e-17	8.50014503228625e-17	0	0	0.2252950592629	0	0.0097763137153724
2	-1.25	60.25	0	0	0.638869527511477	0	0	0	0	0	0	0
2	-6.75	58.25	0	0	1.29724759025767	0.012820995100833	0	0	0	1.32116539930394e-14	0	0
2	-5.25	57.75	0	0	1.3148242360991	0	0	0	0	0	0	0
2	-7.25	57.25	0	0	0.542708290112983	0.134546179636678	0	0	0	1.11022302462516e-16	0	2.77555756156289e-17
2	-3.25	57.25	1.11022302462515e-16	5.55111512312575e-17	6.43507789338718e-32	0.535275171649675	0.128137009703466	0	0	6.43507789338718e-32	0	0
2	-5.25	56.75	0.127726011458715	0	1.66533453693773e-16	0.127658400871179	0.429355197325539	0	0	8.88178419700125e-16	1.66533453693773e-16	0
2	-2.75	56.75	0.0283395089408797	0.368922957064759	0.112661861963134	-6.03857697149731e-233	1.54074395550979e-33	0	0	-3.77411060718582e-234	0.170418842751886	0
2	-6.25	55.75	0.038026187815475	2.77555756156289e-17	0.266847885687097	0.0756491239365653	1.94289029309402e-16	0	0	8.88178419700125e-16	0.3008163460509	2.16840434497101e-19
2	-3.25	55.75	0.493720133791317	1.23259516440783e-32	0.104039638042432	0.55309388923407	0.235878014238886	0	0	3.45126646034193e-31	0	0
2	-4.75	55.25	-1.45857824137678e-196	1.38777878078145e-17	2.99760216648792e-15	0.243282808986377	0.0880449719441905	0	0	0.378609780348701	0	0.0222125886684207
2	-1.75	55.25	3.08148791101958e-33	2.46519032881566e-32	0	0.158151195763701	0	0	0	0.548048402331155	0	0
2	-2.75	54.25	0.160502549340753	0	0.324638155846468	1.11022302462516e-16	0.240137759258029	0	0	8.40274368406302e-34	0	7.93672774638697e-34
2	-3.25	53.25	3.33066907387547e-16	7.7715611723761e-16	2.08166817117217e-16	0.5651584129868	0.45274818236239	0	0	0.394286939596038	0	0.0562727590573642
2	-4.25	51.75	0.0419056301258941	1.34815096107108e-33	3.69778549322349e-31	0.332852468050144	0.22839425753148	0	0	0.16722075356595	0	0
2	0.75	51.25	0.0991509840695759	1.0838653982422	4.9737991503207e-14	3.68720408799973e-32	0	0.0185011036315564	0	0.31496499401491	0.0248307309370119	0
2	-1.25	50.75	0.149398340418726	0.239569195036825	1.21690977250498e-47	0.000136025747291911	0.0149404907148227	0.030111959299512	0	0.344209646581524	0	9.27455638843978e-33
