Timestep	x	y	LC11	LC22	LC33	LC40	LC41	LC44	LC45	LC55	LC66	LC77
1	-1.25	60.25	0.0528354581836896	0	0.475929789752509	0.0883495677254276	0	0	0	-1.55431223447522e-15	0	0.0178267466015463
1	-6.75	58.25	0	0.0167285146300933	1.30080992310554	0	0	0	0	1.8735446498999e-30	0	0
1	-4.75	58.25	0	0	0.62685105482605	3.357988076904e-05	8.67571337666563e-49	0	0	8.1297815701653e-15	0.0199843435912258	7.03808460245185e-49
1	-2.75	57.25	1.04083408558608e-16	0.426330796711505	1.99840144432528e-15	1.94289029309402e-15	0.206609480249555	0	0	0.0138793256636546	0	0.0156651358970896
1	-5.75	56.75	0.0415972977916559	0	0.415395775381224	2.22044604925031e-16	0.186858178821005	0	0	1.45311071917716e-32	0	0.041575464573195
1	-5.25	56.25	0.02683941600315	0	0.509927438375076	3.74266589941996e-15	0.835679635779172	0.000367534106700232	0	1.72108884904076e-49	0	1.0226796671223e-35
1	-4.75	56.25	6.93889390390721e-17	0	0.597958458729785	7.47646049720176e-98	0.0936794674919762	4.16333634234432e-17	0	3.46858787187914e-66	0	5.55111512312576e-17
1	-3.25	56.25	0.0331206222136512	0.232673418245914	1.05958545219115e-147	6.66133814775094e-16	0.0554022961614233	0	0	0.36506426197208	0	1.0842021724855e-19
1	-4.75	55.75	1.29131971967631	0.700075074575152	4.81097647816595e-50	8.55284707229503e-49	0.098553695884716	0	0	5.00741785540681e-33	0	0
1	-4.25	55.25	0.169210408715792	0.265059761357434	2.77555756156289e-17	1.61253472515326e-48	0.247800922721353	0	0	9.43689570931383e-16	0.015345120910877	0.0154985313424329
1	-5.75	54.75	0.346012731407868	0.173286228526632	2.22044604925031e-16	1.11022302462516e-16	0.121897172083517	0	0	0.0746097610956529	0	0
1	-5.75	54.25	0.167209446388876	0.223420378295444	4.44089209850063e-16	2.22044604925031e-16	8.32667268468867e-17	0	0	0.335440583211804	0	0
1	-0.75	53.75	8.88178419700125e-16	5.55111512312578e-16	0.152428209727255	5.55111512312578e-16	0.122249333198451	0	0	0.458467717817697	0	0
1	-2.75	53.25	0.0466817806004164	0.519045743984166	6.21724893790087e-15	9.66726504223065e-132	0.0230769348330217	0	0	0.151516348737224	0	0
1	0.25	53.25	0.245773240075974	8.67361737988403e-19	0.411560516942666	0	0	0	0	3.21166192203831e-33	0	0.0824183368574821
1	0.25	52.75	0.231798836624182	0.489562428326365	1.38777878078144e-17	4.51028103753968e-17	0	0	0	1.36449432440334e-31	0	0.0255590894689935
1	0.75	52.75	0.145463688706155	3.5527136788005e-15	0.184282111585435	7.7715611723761e-16	0.0389058552574704	0	0	0.376996803957726	0	6.24500451351651e-17
1	-2.75	51.25	0.139698153592516	0.466458389089779	2.33146835171283e-15	-4.29408057523535e-308	0	0.0116768915966869	0	0.151732040303717	0	0
1	-2.75	50.75	0.123088178831562	1.01526533584581	1.97215226305253e-31	3.96553412080571e-118	0	0	0	0.430173897581301	0	0
1	-3.75	50.25	0.0195057848883137	0.527877900601698	8.47574923282394e-48	9.0205620750792e-17	8.50014503228617e-17	0	0	0.225295059262898	0	0.00977631371537231
2	-1.25	60.25	0	0	0.638869527511477	0	0	0	0	0	0	0
2	-6.75	58.25	0	0	1.29724759025768	0.012820995100833	0	0	0	1.14015052707724e-31	0	0
2	-5.25	57.75	0	0	1.31482423609908	0	0	0	0	1.4210854715202e-14	0	0
2	-7.25	57.25	0	0	0.542708290112983	0.134546179636678	0	0	0	1.11022302462516e-16	0	2.77555756156289e-17
2	-3.25	57.25	1.11022302462515e-16	5.55111512312576e-17	3.68151380654167e-32	0.535275171649673	0.128137009703467	0	0	1.33226762955018e-15	0	0
2	-5.25	56.75	0.127726011458715	0	1.66533453693773e-16	0.127658400871179	0.429355197325539	0	0	8.88178419700125e-16	1.66533453693773e-16	0
2	-2.75	56.75	0.0283395089408797	0.368922957064759	0.112661861963133	5.47382212626882e-48	3.42113882891801e-49	0	0	6.84227765783602e-49	0.170418842751886	0
2	-6.25	55.75	0.038026187815475	2.77555756156289e-17	0.266847885687097	0.0756491239365653	1.94289029309402e-16	0	0	4.44089209850063e-16	0.3008163460509	2.16840434497101e-19
2	-3.25	55.75	0.493720133791319	6.1895597136656e-49	0.104039638042432	0.553093889234067	0.235878014238886	0	0	2.22044604925031e-15	0	0
2	-4.75	55.25	-1.07875044968267e-197	1.38777878078145e-17	3.33066907387547e-16	0.243282808986378	0.0880449719441905	0	0	0.378609780348703	0	0.0222125886684207
2	-1.75	55.25	6.16297582203915e-33	4.93038065763132e-32	0	0.1581511957637	0	0	0	0.548048402331155	0	0
2	-2.75	54.25	0.160502549340753	0	0.324638155846468	1.11022302462516e-16	0.240137759258029	0	0	8.40274368406302e-34	0	7.93672774638697e-34
2	-3.25	53.25	1.22124532708767e-15	7.7715611723761e-16	2.08166817117217e-16	0.5651584129868	0.45274818236239	0	0	0.394286939596038	0	0.0562727590573642
2	-4.25	51.75	0.0419056301258942	5.77778983316176e-34	1.72563323017096e-31	0.332852468050145	0.22839425753148	0	0	0.167220753565949	0	0
2	0.75	51.25	0.0991509840695759	1.08386539824221	5.7287508070658e-14	2.25294592104193e-32	0	0.0185011036315564	0	0.314964994014889	0.0248307309370114	0
2	-1.25	50.75	0.149398340418726	0.239569195036827	4.55364912443912e-16	0.000136025747291912	0.0149404907148228	0.0301119592995122	0	0.344209646581522	0	2.5360325436137e-166
